"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","GeneAnno"
"chr3-185546759-185547536",1.14355772519135e-22,2.30381523225348,0.131,0.028,1.87949429923824e-17,"cDC1","chr3-185546759-185547536","LIPH"
"chr3-24519241-24519844",7.38747797522162e-24,2.29362234010875,0.136,0.031,1.21416894261755e-18,"cDC1","chr3-24519241-24519844","THRB-AS1"
"chr11-115379443-115380088",2.26261142122645e-18,2.2666231985712,0.107,0.023,3.71871500135673e-13,"cDC1","chr11-115379443-115380088","CADM1"
"chr8-124109461-124110503",2.05302831990446e-17,2.26143130469316,0.1,0.023,3.37425469517898e-12,"cDC1","chr8-124109461-124110503","FER1L6"
"chr9-20972806-20973749",9.33236667988566e-17,2.24320489987112,0.102,0.023,1.53382112567261e-11,"cDC1","chr9-20972806-20973749","FOCAD"
"chr16-30470944-30471363",1.35599368227385e-20,2.2139779536265,0.127,0.029,2.22864341650119e-15,"cDC1","chr16-30470944-30471363","ITGAL"
"chr7-23595050-23595535",3.43765373968748e-22,2.21274923133866,0.14,0.032,5.64995580386336e-17,"cDC1","chr7-23595050-23595535","CCDC126"
"chr6-52161619-52162156",1.63063283073226e-23,2.2014536128268,0.138,0.034,2.68002658895e-18,"cDC1","chr6-52161619-52162156","LINCMD1"
"chr2-45904164-45904626",2.11825741321377e-16,2.18664542768571,0.1,0.023,3.4814619714875e-11,"cDC1","chr2-45904164-45904626","PRKCE"
"chr6-28368262-28368925",4.91379933916843e-25,2.18471844104457,0.151,0.036,8.07607490389027e-20,"cDC1","chr6-28368262-28368925","ZKSCAN3"
"chr16-20874289-20875655",1.15202560304972e-17,2.17738041538756,0.105,0.025,1.89341167989237e-12,"cDC1","chr16-20874289-20875655","ERI2"
"chr8-125151617-125152362",7.19098053769093e-18,2.16352028618875,0.107,0.027,1.18187360627219e-12,"cDC1","chr8-125151617-125152362","NSMCE2"
"chr2-8604034-8604529",8.48163213210902e-22,2.15489818565363,0.138,0.032,1.39399864907278e-16,"cDC1","chr2-8604034-8604529","AC011747.6"
"chr12-120881333-120881977",4.85477489545546e-17,2.13480621363416,0.105,0.026,7.97906527942582e-12,"cDC1","chr12-120881333-120881977","SPPL3"
"chr9-96484022-96484992",1.63341839277226e-16,2.11986096669086,0.105,0.025,2.68460479944084e-11,"cDC1","chr9-96484022-96484992","HABP4"
"chr5-122219496-122220838",2.7555283744962e-21,2.11798444660461,0.129,0.034,4.52884865990324e-16,"cDC1","chr5-122219496-122220838","CTC-441N14.4"
"chr6-5132473-5133200",4.12037116635716e-16,2.1036724832179,0.102,0.026,6.77203603046631e-11,"cDC1","chr6-5132473-5133200","LYRM4"
"chr15-59298005-59298630",5.29626911074932e-17,2.09802211854843,0.107,0.027,8.70468309697205e-12,"cDC1","chr15-59298005-59298630","MYO1E"
"chr6-25697817-25698368",2.91798439437909e-16,2.09319266220783,0.109,0.026,4.79585325138176e-11,"cDC1","chr6-25697817-25698368","SCGN"
"chr1-151325287-151326020",1.83340747385637e-20,2.08033037174321,0.129,0.034,3.01329685365663e-15,"cDC1","chr1-151325287-151326020","PI4KB"
"chr6-29845241-29845822",1.76069384357638e-21,2.07857350536041,0.143,0.036,2.89378836660995e-16,"cDC1","chr6-29845241-29845822","HLA-G"
"chr17-74272135-74272443",2.66096218071112e-15,2.05026539387044,0.1,0.026,4.37342439210776e-10,"cDC1","chr17-74272135-74272443","DNAI2"
"chr15-91917518-91918185",2.30758750328884e-14,1.99457531439438,0.102,0.026,3.79263544103038e-09,"cDC1","chr15-91917518-91918185","SLCO3A1"
"chr6-30810808-30811197",1.20369670816845e-17,1.99216090201642,0.125,0.033,1.97833572471026e-12,"cDC1","chr6-30810808-30811197","LINC00243"
"chr17-40153001-40153739",4.2694855969826e-20,1.98912023476415,0.138,0.038,7.01711305292075e-15,"cDC1","chr17-40153001-40153739","CASC3"
"chr2-240779291-240779971",2.41918681210573e-15,1.98290810411926,0.107,0.028,3.97605448503637e-10,"cDC1","chr2-240779291-240779971","KIF1A"
"chr15-101187696-101189028",6.61304891950701e-20,1.97540406275159,0.143,0.039,1.08688765516558e-14,"cDC1","chr15-101187696-101189028","CHSY1"
"chr22-26481651-26482024",1.46820776876564e-14,1.97499144932032,0.1,0.028,2.41307287835476e-09,"cDC1","chr22-26481651-26482024","HPS4"
"chr9-127970401-127971982",1.21660954654659e-19,1.96028196847355,0.145,0.038,1.99955862022665e-14,"cDC1","chr9-127970401-127971982","FAM102A"
"chr17-4696182-4697215",4.22019573484285e-17,1.95413441823196,0.129,0.037,6.93610270000097e-12,"cDC1","chr17-4696182-4697215","PELP1"
"chr17-42655701-42656371",3.51551623654035e-18,1.93814373828216,0.127,0.036,5.7779267105659e-13,"cDC1","chr17-42655701-42656371","TUBG2"
"chr2-61334136-61334834",8.97849229991952e-15,1.9323101403009,0.102,0.029,1.47566010195327e-09,"cDC1","chr2-61334136-61334834","USP34"
"chr3-187758348-187759416",4.22476544551266e-15,1.93047776757381,0.107,0.03,6.94361324797233e-10,"cDC1","chr3-187758348-187759416","RP11-211G3.2"
"chr5-66040737-66041335",6.86989725890636e-14,1.92833940457455,0.102,0.028,1.12910196398756e-08,"cDC1","chr5-66040737-66041335","ERBIN"
"chr8-867320-867878",2.75004416786889e-18,1.91938399334468,0.136,0.037,4.51983509210092e-13,"cDC1","chr8-867320-867878","DLGAP2"
"chr19-39031007-39032658",2.04307985166583e-39,1.9178882304159,0.274,0.083,3.35790389020538e-34,"cDC1","chr19-39031007-39032658","FBXO27"
"chr2-227082223-227083007",1.48760586059297e-16,1.91003450480952,0.125,0.035,2.44495461217758e-11,"cDC1","chr2-227082223-227083007","COL4A4"
"chr14-73696099-73696977",1.53730962938497e-14,1.90863440731833,0.109,0.031,2.52664524137566e-09,"cDC1","chr14-73696099-73696977","DNAL1"
"chr10-74898067-74898941",5.62365839517229e-16,1.88778256413552,0.118,0.034,9.24276375538542e-11,"cDC1","chr10-74898067-74898941","KAT6B"
"chr8-22442735-22443011",4.61522492142731e-14,1.88010903084469,0.105,0.031,7.58535291961185e-09,"cDC1","chr8-22442735-22443011","PPP3CC"
"chr5-136030959-136031594",3.2178135491594e-14,1.87607627120481,0.102,0.031,5.28863745872093e-09,"cDC1","chr5-136030959-136031594","TGFBI"
"chr2-96343821-96344414",3.99351111868017e-18,1.87415200478044,0.14,0.041,6.56353519910679e-13,"cDC1","chr2-96343821-96344414","NCAPH"
"chr6-52157246-52157973",6.99326258345296e-21,1.85324554607599,0.16,0.048,1.14937767190341e-15,"cDC1","chr6-52157246-52157973","LINCMD1"
"chr18-69978609-69979452",2.39181224120986e-21,1.83372310348539,0.163,0.048,3.93106300904046e-16,"cDC1","chr18-69978609-69979452","CD226"
"chr6-108348493-108349339",1.52286374382365e-19,1.82858601778906,0.149,0.045,2.50290270616136e-14,"cDC1","chr6-108348493-108349339","LACE1"
"chr17-5210610-5211783",5.12414192801804e-17,1.82121785317386,0.127,0.039,8.42178346579405e-12,"cDC1","chr17-5210610-5211783","SCIMP"
"chr19-7009110-7009577",4.29575562997889e-17,1.80827350042396,0.131,0.041,7.06028916565181e-12,"cDC1","chr19-7009110-7009577","CTB-25J19.1"
"chr5-53469850-53470490",6.18706274143084e-16,1.80363773118666,0.12,0.037,1.01687469686787e-10,"cDC1","chr5-53469850-53470490","FST"
"chr10-133528820-133530859",7.31634301455732e-16,1.78226886984792,0.127,0.039,1.20247755615757e-10,"cDC1","chr10-133528820-133530859","CYP2E1"
"chr20-32111606-32112114",1.43880189149084e-15,1.77521007316968,0.122,0.038,2.36474284875977e-10,"cDC1","chr20-32111606-32112114","TM9SF4"
"chr16-70786148-70786710",5.37150723227097e-15,1.7701998486271,0.129,0.039,8.82834071159895e-10,"cDC1","chr16-70786148-70786710","VAC14"
"chr8-48949223-48949999",2.61070567063177e-14,1.7658651664822,0.125,0.036,4.29082530496685e-09,"cDC1","chr8-48949223-48949999","SNAI2"
"chr2-172836175-172837203",3.61763168956744e-20,1.74775720874861,0.167,0.054,5.94575856338856e-15,"cDC1","chr2-172836175-172837203","RAPGEF4"
"chr1-236284205-236284746",1.0960911747595e-15,1.73368999923712,0.125,0.041,1.80148065027598e-10,"cDC1","chr1-236284205-236284746","ERO1B"
"chr19-53849122-53849656",4.79613573229386e-17,1.72682499035748,0.143,0.046,7.88268888281157e-12,"cDC1","chr19-53849122-53849656","AC008440.10"
"chr2-111642250-111643387",8.32197598363536e-13,1.72386680256584,0.102,0.033,1.36775836279039e-07,"cDC1","chr2-111642250-111643387","RP11-68E19.2"
"chr8-38362297-38363689",8.99553526941717e-19,1.72244735403582,0.158,0.051,1.47846119920506e-13,"cDC1","chr8-38362297-38363689","WHSC1L1"
"chr2-108580761-108581527",1.54106272807561e-16,1.72219881459707,0.143,0.046,2.53281364672867e-11,"cDC1","chr2-108580761-108581527","LIMS1"
"chr11-69638965-69639332",1.03865780013805e-12,1.71769549478217,0.102,0.034,1.7070860274169e-07,"cDC1","chr11-69638965-69639332","CCND1"
"chr2-39408637-39409346",7.5064526026927e-14,1.71371462983135,0.109,0.038,1.23372301751556e-08,"cDC1","chr2-39408637-39409346","MAP4K3"
"chr9-36378615-36379996",3.82585699503042e-14,1.70222029055551,0.125,0.04,6.28798726418224e-09,"cDC1","chr9-36378615-36379996","RNF38"
"chr17-80780070-80781496",8.31558187554683e-28,1.6934010051436,0.227,0.08,1.3667074591555e-22,"cDC1","chr17-80780070-80781496","RPTOR"
"chr12-108641774-108642244",3.27631495292386e-13,1.67733956852996,0.122,0.039,5.384787440878e-08,"cDC1","chr12-108641774-108642244","CORO1C"
"chr14-92770386-92771229",1.39370202040182e-12,1.65044906061329,0.105,0.037,2.29061895563141e-07,"cDC1","chr14-92770386-92771229","LGMN"
"chr3-10389377-10390454",1.04170467596571e-11,1.63376008394135,0.107,0.037,1.71209372018344e-06,"cDC1","chr3-10389377-10390454","ATP2B2"
"chr6-155223710-155224476",1.17033449811054e-11,1.63369516219951,0.1,0.035,1.92350326436957e-06,"cDC1","chr6-155223710-155224476","TIAM2"
"chr12-93059885-93061134",3.27093101773606e-15,1.63290578944717,0.134,0.047,5.3759386742001e-10,"cDC1","chr12-93059885-93061134","RP11-202G11.2"
"chr13-99288162-99288464",2.52520860652655e-12,1.62777371321101,0.105,0.038,4.15030660525671e-07,"cDC1","chr13-99288162-99288464","UBAC2"
"chr13-46379701-46380542",9.56573482667987e-13,1.6186888701799,0.114,0.04,1.57217634743897e-07,"cDC1","chr13-46379701-46380542","RUBCNL"
"chr22-42964901-42965536",3.07784985578547e-12,1.61572233032154,0.105,0.036,5.05860013047621e-07,"cDC1","chr22-42964901-42965536","PACSIN2"
"chr1-185636679-185637222",4.38608631894177e-11,1.60735401267843,0.1,0.034,7.20875216949674e-06,"cDC1","chr1-185636679-185637222","LINC01350"
"chr18-39799113-39800950",2.77106736700861e-11,1.60377730265012,0.1,0.034,4.55438777104701e-06,"cDC1","chr18-39799113-39800950","RP11-244M2.1"
"chr14-102763997-102764732",1.82007890693961e-20,1.59884496575729,0.207,0.073,2.99139068750059e-15,"cDC1","chr14-102763997-102764732","RP11-661D19.3"
"chr8-69738188-69738955",1.58952857366845e-11,1.57171559523015,0.109,0.038,2.61246968725278e-06,"cDC1","chr8-69738188-69738955","SLCO5A1"
"chr13-50284325-50285612",3.28036422428903e-11,1.57038254089883,0.102,0.037,5.39144262083023e-06,"cDC1","chr13-50284325-50285612","DLEU1"
"chr14-76227312-76228724",3.88013401994356e-12,1.56910255401133,0.116,0.04,6.37719426847823e-07,"cDC1","chr14-76227312-76228724","GPATCH2L"
"chr9-130925914-130926530",3.01327742507124e-12,1.56319416663562,0.116,0.041,4.95247211197584e-07,"cDC1","chr9-130925914-130926530","FIBCD1"
"chr1-201482745-201483114",5.86251201561498e-11,1.56246241778544,0.102,0.038,9.635331623264e-06,"cDC1","chr1-201482745-201483114","CSRP1"
"chr1-79040345-79041045",2.56071085132301e-14,1.55802717590881,0.134,0.049,4.20865631969193e-09,"cDC1","chr1-79040345-79041045","ADGRL4"
"chr8-140509087-140509354",1.28280649191508e-12,1.53686330156377,0.118,0.044,2.10835660978703e-07,"cDC1","chr8-140509087-140509354","CHRAC1"
"chr1-206067528-206068630",9.72014044828133e-16,1.53485437755364,0.145,0.055,1.59755368337728e-10,"cDC1","chr1-206067528-206068630","C1orf186"
"chr10-60030337-60031221",1.69081336042178e-12,1.52972492191448,0.114,0.043,2.77893629852121e-07,"cDC1","chr10-60030337-60031221","ANK3"
"chr3-16589269-16590781",8.97610930620556e-11,1.52423609276876,0.1,0.038,1.47526844502141e-05,"cDC1","chr3-16589269-16590781","DAZL"
"chr9-3385826-3386229",3.77233164868009e-10,1.52144542093756,0.102,0.037,6.20001568118815e-05,"cDC1","chr9-3385826-3386229","RFX3"
"chr16-10751147-10751637",5.06720960240884e-17,1.51496887513569,0.183,0.067,8.32821234203905e-12,"cDC1","chr16-10751147-10751637","NUBP1"
"chr3-100650590-100651535",5.29351782042502e-11,1.50372034805279,0.109,0.039,8.70016121375954e-06,"cDC1","chr3-100650590-100651535","ADGRG7"
"chr10-17961414-17962460",5.9919748616071e-14,1.50356174756584,0.14,0.052,9.84811028379435e-09,"cDC1","chr10-17961414-17962460","SLC39A12"
"chr1-230109857-230110523",7.63377623815205e-10,1.49409370360401,0.1,0.037,0.000125464929362148,"cDC1","chr1-230109857-230110523","GALNT2"
"chr3-179608745-179609799",7.82505030715037e-15,1.48683376350461,0.147,0.06,1.2860861432317e-09,"cDC1","chr3-179608745-179609799","NDUFB5"
"chr16-57235111-57236128",2.31078092865054e-10,1.48444906865813,0.105,0.038,3.7978839952836e-05,"cDC1","chr16-57235111-57236128","RSPRY1"
"chr17-45311989-45312423",2.71136339065057e-14,1.4819143230534,0.143,0.056,4.45626130070375e-09,"cDC1","chr17-45311989-45312423","MAP3K14"
"chr1-109989828-109990450",2.6648405221364e-10,1.48184331498974,0.1,0.038,4.37979864015728e-05,"cDC1","chr1-109989828-109990450","AHCYL1"
"chr12-93138682-93139441",4.61819557534385e-10,1.47841549880843,0.102,0.04,7.59023533785639e-05,"cDC1","chr12-93138682-93139441","RP11-202G11.2"
"chr16-79007513-79008341",3.91250864043067e-12,1.47726026869391,0.122,0.05,6.43040357597983e-07,"cDC1","chr16-79007513-79008341","WWOX"
"chr4-2332701-2334134",6.20409673678727e-12,1.47611421651359,0.12,0.046,1.01967431917467e-06,"cDC1","chr4-2332701-2334134","ZFYVE28"
"chr1-186738782-186739381",2.86850129243978e-14,1.47503356013728,0.151,0.057,4.7145252991894e-09,"cDC1","chr1-186738782-186739381","PACERR"
"chr22-30694007-30695178",9.55462726382211e-14,1.47498601846001,0.14,0.055,1.57035076394548e-08,"cDC1","chr22-30694007-30695178","OSBP2"
"chr12-1080271-1081224",2.90978282349908e-14,1.47410066072577,0.147,0.058,4.78237355956191e-09,"cDC1","chr12-1080271-1081224","ERC1"
"chr4-26867748-26868642",1.56281294978445e-11,1.45674957266622,0.122,0.047,2.56856122361823e-06,"cDC1","chr4-26867748-26868642","STIM2"
"chr14-79036076-79036903",1.24374841119076e-16,1.45670129666873,0.171,0.067,2.04416270121257e-11,"cDC1","chr14-79036076-79036903","NRXN3"
"chr1-196088523-196089419",7.9876666416916e-10,1.45402043448243,0.107,0.04,0.000131281295089522,"cDC1","chr1-196088523-196089419","RP11-476B1.1"
"chr16-70784395-70785487",4.96337099737567e-15,1.43393412095206,0.167,0.069,8.15754840273678e-10,"cDC1","chr16-70784395-70785487","VAC14"
"chr6-16694728-16695538",1.87957337023098e-11,1.4313030385017,0.122,0.048,3.08917281264312e-06,"cDC1","chr6-16694728-16695538","ATXN1"
"chr7-92631281-92631762",1.17735137095904e-10,1.42090751823286,0.111,0.045,1.93503584573972e-05,"cDC1","chr7-92631281-92631762","CDK6"
"chr2-8414725-8415837",4.0483098400966e-13,1.42032791849909,0.14,0.056,6.65359963769078e-08,"cDC1","chr2-8414725-8415837","LINC00299"
"chr16-85947034-85948450",7.35329319339489e-23,1.41739188215498,0.241,0.104,1.20855050280042e-17,"cDC1","chr16-85947034-85948450","RP11-542M13.3"
"chr20-41443291-41444292",7.37577984775125e-11,1.41020300628573,0.114,0.045,1.21224629687716e-05,"cDC1","chr20-41443291-41444292","CHD6"
"chr16-15481932-15482736",3.15995725002989e-10,1.40582315902544,0.105,0.044,5.19354773828663e-05,"cDC1","chr16-15481932-15482736","C16orf45"
"chr5-146006232-146007670",5.68910630785802e-10,1.40434847583055,0.1,0.04,9.35033067228004e-05,"cDC1","chr5-146006232-146007670","SH3RF2"
"chr6-87729856-87730674",3.35262294584461e-10,1.40005064558385,0.107,0.044,5.51020344264291e-05,"cDC1","chr6-87729856-87730674","AKIRIN2"
"chr8-115650889-115651809",8.61695936797091e-11,1.39076659811406,0.118,0.047,1.41624035692286e-05,"cDC1","chr8-115650889-115651809","TRPS1"
"chr15-60017594-60018300",1.37021966991027e-12,1.38856019112308,0.134,0.056,2.25202453848103e-07,"cDC1","chr15-60017594-60018300","FOXB1"
"chr11-67112982-67113529",1.15007027546711e-09,1.38755300122733,0.102,0.041,0.000189019800124396,"cDC1","chr11-67112982-67113529","KDM2A"
"chr4-40305292-40305823",4.09943534902897e-10,1.37829374306181,0.114,0.045,6.73762696789657e-05,"cDC1","chr4-40305292-40305823","AC195454.1"
"chr9-113564581-113565815",6.89772833336564e-10,1.36980354327328,0.105,0.045,0.000113367614023031,"cDC1","chr9-113564581-113565815","RGS3"
"chr17-62724479-62725283",5.59061923292022e-15,1.36695305964472,0.174,0.074,9.18846224026603e-10,"cDC1","chr17-62724479-62725283","MARCH10"
"chr4-105304774-105306845",4.5500184555379e-18,1.35720541821423,0.22,0.092,7.47818283259932e-13,"cDC1","chr4-105304774-105306845","TET2"
"chr6-32866885-32867705",2.91627450241345e-14,1.35703973316514,0.16,0.068,4.79304295844163e-09,"cDC1","chr6-32866885-32867705","PSMB9"
"chr11-108225208-108225542",3.89608468016787e-11,1.35431285505561,0.129,0.052,6.40340997608991e-06,"cDC1","chr11-108225208-108225542","ATM"
"chr1-31928561-31929030",3.01050577521743e-12,1.35003380206882,0.145,0.061,4.9479167668586e-07,"cDC1","chr1-31928561-31929030","PTP4A2"
"chr9-126347833-126349411",5.73648639157852e-12,1.33668852452422,0.14,0.059,9.42820220887887e-07,"cDC1","chr9-126347833-126349411","MVB12B"
"chr18-56511823-56512438",1.4476222937294e-09,1.33655962699033,0.118,0.049,0.000237923962085896,"cDC1","chr18-56511823-56512438","TXNL1"
"chr9-109320020-109321319",1.55024181153046e-09,1.3279097019423,0.107,0.045,0.000254789992934089,"cDC1","chr9-109320020-109321319","EPB41L4B"
