"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"WP3611","WP3611","Photodynamic therapy-induced AP-1 survival signaling","10/604","51/9131",0.00160558315436805,0.0196002320920024,0.0154021184421006,"596/598/5156/1026/574406/7186/8837/7188/5600/7189",10
"WP4747","WP4747","Netrin-UNC5B signaling","10/604","52/9131",0.00187275981751466,0.0224384370728145,0.0176324169953134,"5578/3383/1612/2185/7412/9423/3635/5604/5879/5290",10
"WP314","WP314","Fas ligand pathway and stress induction of heat shock proteins","9/604","44/9131",0.00200044455958843,0.023532502364613,0.0184921477948557,"60/596/5062/8767/8837/840/3315/4214/84823",9
"WP5063","WP5063","FOXP3 in COVID-19","5/604","15/9131",0.00214264074176824,0.0246849603999286,0.0193977643751168,"3570/3575/942/6776/941",5
"WP2864","WP2864","Apoptosis-related network due to altered Notch3 in ovarian cancer","10/604","53/9131",0.00217471830416682,0.0246849603999286,0.0193977643751168,"3575/5062/4790/2185/7185/4092/1026/8767/840/3315",10
"WP5470","WP5470","Effect of omega-3 PUFA on Huntington's disease pathways","17/604","120/9131",0.00224125662433788,0.025001604068045,0.0196465871062649,"596/51422/5287/598/4790/5978/3708/5286/5728/23533/5293/5604/1977/840/10000/5290/5864",17
"WP4223","WP4223","Ras signaling","23/604","184/9131",0.00230653982422847,0.0252937502758614,0.0198761594130661,"51806/7074/5578/598/2322/5062/4790/5156/55970/2549/5899/6789/25780/5293/5604/2902/4301/2786/5879/2788/10000/5898/5290",23
"WP395","WP395","IL4 signaling","10/604","54/9131",0.00251464158883134,0.0271162184662312,0.0213082787264129,"4790/4792/3716/3635/5293/6776/5600/3566/8651/5290",10
"WP3915","WP3915","Angiopoietin-like protein 8 regulatory pathway","18/604","132/9131",0.0025951653804526,0.0275257705107022,0.0216301100734876,"6195/51422/9448/6256/2308/5286/5770/6513/868/2309/143686/5293/5604/9322/1977/5600/4214/5290",18
"WP2586","WP2586","Aryl hydrocarbon receptor pathway","9/604","46/9131",0.00276245056507249,0.0282767753708576,0.0222202595039847,"5325/4790/135112/1026/11140/9612/57491/5604/1316",9
"WP5411","WP5411","Phosphatidyl inositol phosphate pathway","9/604","46/9131",0.00276245056507249,0.0282767753708576,0.0222202595039847,"3631/5287/200576/5286/5728/3635/5293/8821/5290",9
"WP4216","WP4216","Chromosomal and microsatellite instability in colorectal cancer ","12/604","73/9131",0.00279708442617447,0.0282767753708576,0.0222202595039847,"596/51426/1026/5899/9423/5604/5366/4088/5879/10000/4616/5898",12
"WP5497","WP5497","Cyclin-dependent kinase 4/6 inhibitors in breast cancer","8/604","38/9131",0.00291012668006266,0.0289083046675779,0.0227165234758645,"5287/5286/23533/1026/5293/1021/10000/5290",8
"WP5489","WP5489","Regulation of cytotoxic T cell responses by Malat1 - miR-15/16 circuit ","5/604","16/9131",0.00294891515928924,0.0289083046675779,0.0227165234758645,"596/942/919/378938/941",5
"WP4871","WP4871","Kisspeptin/kisspeptin receptor system in the ovary","8/604","39/9131",0.00345362447364394,0.0333506721559348,0.0262073938848394,"5578/4790/409/5581/408/5293/5604/5290",8
"WP5039","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response","11/604","66/9131",0.00370588194441945,0.0352603767358733,0.0277080646927956,"3570/6351/4790/10010/7187/3716/7186/7188/79132/4088/7189",11
"WP2034","WP2034","Leptin signaling","12/604","76/9131",0.00393937093075722,0.0369387390173902,0.0290269437003163,"6195/598/10657/4790/2308/8835/5770/5728/3716/5604/1977/5879",12
"WP2526","WP2526","PDGF pathway","8/604","40/9131",0.00407259146700485,0.0371122067486217,0.0291632569097605,"7410/7074/4790/4792/3716/5604/5879/4214",8
"WP4564","WP4564","Neural crest cell migration during development","8/604","40/9131",0.00407259146700485,0.0371122067486217,0.0291632569097605,"7074/5062/23533/2047/5293/5879/10000/5290",8
"WP4788","WP4788","Autosomal recessive osteopetrosis pathways","4/604","11/9131",0.00429993527235546,0.038639696127972,0.030363578019703,"4790/7879/8792/7189",4
"WP4816","WP4816","TGF-beta receptor signaling in skeletal dysplasias","10/604","59/9131",0.00490479216032238,0.0429650760079023,0.0337625180376097,"9839/860/4790/2200/864/3694/4092/3716/7049/4088",10
"WP5475","WP5475","Hallmark of cancer: sustaining proliferative signaling","14/604","98/9131",0.00491408906427321,0.0429650760079023,0.0337625180376097,"3570/2322/4790/4792/6929/5156/2308/5728/7704/1026/5293/5604/10000/5290",14
"WP536","WP536","Calcium regulation in cardiac cells","19/604","152/9131",0.00534369601704605,0.0460982843070506,0.0362246340523964,"309/5578/115/409/5996/5581/7531/55970/3708/5576/11142/2776/5998/408/10636/2786/2788/6547/10971",19
"WP5284","WP5284","Cell interactions of the pancreatic cancer microenvironment","6/604","26/9131",0.00601283037118987,0.0505233928592188,0.0397019421638375,"7852/942/2833/1438/3123/941",6
"WP5496","WP5496","Targeted therapy in breast cancer","6/604","26/9131",0.00601283037118987,0.0505233928592188,0.0397019421638375,"5287/5286/23533/5293/10000/5290",6
"WP3849","WP3849","MAPK and NFkB signaling inhibited by Yersinia YopJ","4/604","12/9131",0.00611617468749942,0.0507328849078477,0.0398665637525266,"4790/4792/4214/7189",4
"WP4565","WP4565","Neural crest cell migration in cancer","8/604","43/9131",0.00644947096310584,0.0528203507991074,0.0415069217212541,"7074/5062/23533/2047/5293/5879/10000/5290",8
"WP3945","WP3945","TYROBP causal network in microglia","10/604","62/9131",0.00702670345299329,0.0562867766539452,0.044230884444571,"6195/64092/54502/5996/864/10257/822/7305/6776/8832",10
"WP2003","WP2003","miR-targeted genes in leukocytes","19/604","156/9131",0.00706109413350359,0.0562867766539452,0.044230884444571,"27154/596/7127/8992/391/23129/10672/114793/10772/574406/822/407040/8744/1075/6935/2580/1021/84823/10971",19
"WP35","WP35","G protein signaling","13/604","92/9131",0.00723476825870055,0.0562867766539452,0.044230884444571,"8622/5578/11214/115/5581/55970/10672/3708/5576/2776/5151/2786/2788",13
"WP4856","WP4856","Intracellular trafficking proteins involved in CMT neuropathy","6/604","27/9131",0.00730771134301608,0.0562867766539452,0.044230884444571,"10397/9516/7879/8766/3315/5864",6
"WP5231","WP5231","Hippocampal synaptogenesis and neurogenesis","6/604","27/9131",0.00730771134301608,0.0562867766539452,0.044230884444571,"6195/596/9379/5578/4803/10645",6
"WP1984","WP1984","Integrated breast cancer pathway","19/604","157/9131",0.0075540338252556,0.0574995280581221,0.0451838803417766,"7035/596/4790/8554/2308/4661/6794/4092/5728/8202/3716/25780/23077/301/571/5879/55671/5898/7465",19
"WP585","WP585","Interferon type I signaling","9/604","54/9131",0.00833024338474891,0.0623090042338993,0.048963229553361,"8554/3716/5293/5788/1977/6776/5879/4214/8651",9
"WP3679","WP3679","Cell-type dependent selectivity of CCK2R signaling","4/604","13/9131",0.00837849052295091,0.0623090042338993,0.048963229553361,"952/3708/2776/747",4
"WP5493","WP5493","Effect of dasatinib on the BCR-ABL signaling pathway","8/604","45/9131",0.00853674891046485,0.0627645061939859,0.0493211689444321,"6195/596/3635/5829/5600/3315/10000/5290",8
"WP5422","WP5422","IL19 signaling","6/604","28/9131",0.00879249801896046,0.0632266733014841,0.049684345895415,"7852/4790/3716/5879/3566/8651",6
"WP2849","WP2849","Hematopoietic stem cell differentiation","10/604","64/9131",0.00879505501875359,0.0632266733014841,0.049684345895415,"7852/10320/3757/4261/861/863/2313/6776/4601/4602",10
"WP560","WP560","TGF-beta receptor signaling","9/604","55/9131",0.00939349309351298,0.0663766450529642,0.0521596348500475,"9839/860/4790/864/3694/4092/3716/7049/4088",9
"WP75","WP75","Toll-like receptor signaling","13/604","95/9131",0.00943841011572289,0.0663766450529642,0.0521596348500475,"6351/4790/4792/942/7187/7098/5604/958/5600/5879/941/7189/10000",13
"WP5437","WP5437","GNAQ pathways in port-wine stain","5/604","21/9131",0.0104358117703772,0.071815026973578,0.0564331864121666,"4790/2776/5604/5879/5290",5
"WP3972","WP3972","PDGFR-beta pathway","6/604","29/9131",0.0104813206192948,0.071815026973578,0.0564331864121666,"5578/3716/5604/6776/4214/5290",6
"WP4666","WP4666","Hepatitis B infection","18/604","151/9131",0.0106557072480116,0.071815026973578,0.0564331864121666,"596/5578/4790/2185/7187/1026/3716/7098/5293/5604/6776/4088/5600/4214/7189/10000/5290/10971",18
"WP51","WP51","Regulation of actin cytoskeleton","18/604","151/9131",0.0106557072480116,0.071815026973578,0.0564331864121666,"60/5287/5062/8874/5156/55970/10672/4659/5286/23533/5293/5604/5829/5962/5216/5879/5290/10092",18
"WP4217","WP4217","Ebola virus infection in host","16/604","129/9131",0.0108501847574402,0.0723718509078745,0.056870745934277,"7410/60/7074/2060/4790/5971/3109/153090/7879/3123/5293/3113/4153/3112/5879/5290",16
"WP5353","WP5353","Macrophage-stimulating protein (MSP) signaling","14/604","108/9131",0.0114893667878145,0.0758532684868975,0.0596064893503156,"6195/9839/10397/4790/5156/1843/2549/5728/6513/5604/4088/3315/6935/8651",14
"WP4559","WP4559","Interactions between immune cells and microRNAs in tumor microenvironment","8/604","48/9131",0.0125631066302874,0.0812832998979597,0.0638734789729351,"4790/942/29126/407040/941/7189/3566/8651",8
"WP5477","WP5477","Molecular pathway for oxidative stress","8/604","48/9131",0.0125631066302874,0.0812832998979597,0.0638734789729351,"596/3383/598/4790/2308/5728/1026/5290",8
"WP4864","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis","5/604","22/9131",0.0127867324223978,0.0819110482900134,0.0643667718605328,"596/598/574406/5600/840",5
"WP3981","WP3981","miRNA regulation of prostate cancer signaling","8/604","49/9131",0.0141721910019251,0.0886860567740166,0.0696906620383145,"596/4790/4792/2308/1026/5604/10000/5290",8
"WP4971","WP4971","Phosphoinositides metabolism","8/604","49/9131",0.0141721910019251,0.0886860567740166,0.0696906620383145,"5287/200576/5286/9110/5728/3635/5293/5290",8
"WP3873","WP3873","RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis","4/604","15/9131",0.0143926367253041,0.0886860567740166,0.0696906620383145,"5728/2309/10000/5290",4
"WP5192","WP5192","Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids","4/604","15/9131",0.0143926367253041,0.0886860567740166,0.0696906620383145,"4790/1901/56624/5290",4
"WP304","WP304","Kit receptor signaling","9/604","59/9131",0.0146948062520326,0.0889000498199441,0.0698588205694835,"6195/596/5578/2309/3635/5604/4067/6776/8651",9
"WP5293","WP5293","Acute myeloid leukemia","10/604","69/9131",0.0147021720722319,0.0889000498199441,0.0698588205694835,"2322/4790/597/7704/5293/5604/861/6776/10000/5290",10
"WP4197","WP4197","Immune response to tuberculosis","5/604","23/9131",0.0154711310298269,0.0918332273054861,0.0721637497576666,"9282/8554/3437/3716/8651",5
"WP4585","WP4585","Cancer immunotherapy by PD-1 blockade","5/604","23/9131",0.0154711310298269,0.0918332273054861,0.0721637497576666,"4790/10538/29126/3123/80380",5
"WP5087","WP5087","Pleural mesothelioma","41/604","440/9131",0.0156504425531777,0.0920530575627818,0.0723364952457881,"6195/60/55233/3918/596/51422/92597/7474/10397/2322/6351/5062/4790/9448/5156/8379/2308/5728/6513/960/1946/1026/23012/29126/574406/3716/7186/4803/8726/1454/5293/5604/9770/80326/6788/4214/10000/5290/171023/4209/467",41
"WP3865","WP3865","Novel intracellular components of RIG-I-like receptor pathway","9/604","60/9131",0.0163091454493448,0.0950632171687033,0.0747019179898865,"4790/10010/4792/7187/7186/79132/5600/4214/7189",9
"WP5093","WP5093","Opioid receptor pathways","7/604","41/9131",0.0168020752389329,0.0968018005234245,0.0760681195034801,"10659/57480/4988/4987/5581/1788/5879",7
"WP3893","WP3893","Development and heterogeneity of the ILC family","6/604","32/9131",0.0169066514051731,0.0968018005234245,0.0760681195034801,"6095/3600/2672/7704/3574/3398",6
"WP673","WP673","ErbB signaling","12/604","92/9131",0.0176751397399052,0.100314170278234,0.0788281855436215,"5578/5062/2308/2549/8440/1026/868/5293/5604/6776/10000/5290",12
"WP706","WP706","Sudden infant death syndrome (SIDS) susceptibility pathways","18/604","160/9131",0.01853577446438,0.104283878943077,0.081947634474101,"6095/3570/4790/9722/6929/5978/864/7531/6507/3757/5576/4803/2902/1390/4602/6550/10971/7184",18
"WP49","WP49","IL2 signaling","7/604","42/9131",0.019049759835426,0.106251677702764,0.083493956447466,"596/2185/6850/3716/2309/5604/6776",7
"WP5323","WP5323","Fatty acid and lipoprotein transport in hepatocytes","36/604","382/9131",0.0193649184241745,0.106256425677729,0.0834976874682229,"55707/51435/23048/6653/11252/2060/598/409/274/26052/79890/4017/4065/50618/5286/84129/10938/1808/9051/51429/23149/1454/7416/7879/84000/27131/9711/3988/9322/7037/9873/5168/8909/9685/8527/921",36
"WP4481","WP4481","Resistin as a regulator of inflammation","6/604","33/9131",0.0195432993132145,0.106256425677729,0.0834976874682229,"4790/4792/3708/5293/10000/5290",6
"WP4496","WP4496","Signal transduction through IL1R","6/604","33/9131",0.0195432993132145,0.106256425677729,0.0834976874682229,"4790/4792/3554/3556/4214/7189",6
"WP4239","WP4239","Epithelial to mesenchymal transition in colorectal cancer","18/604","162/9131",0.0207813716812587,0.112046228981453,0.0880473905442803,"9839/7474/114793/182/8726/3516/5293/5604/8828/4088/80326/5600/6935/7189/10000/3398/5290/4209",18
"WP364","WP364","IL6 signaling","7/604","43/9131",0.0214998160050438,0.113507696509795,0.0891958308211682,"3570/598/2549/3716/3055/5604/5879",7
"WP4136","WP4136","Fibrin complement receptor 3 signaling","7/604","43/9131",0.0214998160050438,0.113507696509795,0.0891958308211682,"4790/6850/868/7305/7098/7189/5290",7
"WP382","WP382","MAPK signaling","25/604","247/9131",0.0217722766436536,0.113507696509795,0.0891958308211682,"5578/5062/4790/409/9448/1843/55970/9693/80824/5971/6789/7186/25780/4803/3554/408/5604/5600/6788/5879/3315/4214/7189/3303/10000",25
"WP3872","WP3872","Regulation of apoptosis by parathyroid hormone-related protein","5/604","25/9131",0.021910333659878,0.113507696509795,0.0891958308211682,"596/598/597/574406/10000",5
"WP4155","WP4155","Endometrial cancer","9/604","63/9131",0.0219296167909187,0.113507696509795,0.0891958308211682,"5728/51426/1026/2309/5293/5604/10000/4616/5290",9
"WP313","WP313","Hepatocyte growth factor receptor signaling","6/604","34/9131",0.0224465266245766,0.114200700780723,0.0897404026309108,"2185/2549/5728/5604/5829/5290",6
"WP4337","WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma","4/604","17/9131",0.0225930289025233,0.114200700780723,0.0897404026309108,"3570/4790/3716/6935",4
"WP4462","WP4462","Platelet-mediated interactions with vascular and circulating cells","4/604","17/9131",0.0225930289025233,0.114200700780723,0.0897404026309108,"3383/6404/7412/958",4
"WP2332","WP2332","IL11 signaling","7/604","44/9131",0.0241601324254428,0.120201785939772,0.0944561337491417,"6195/596/3383/860/8554/3716/5604",7
"WP4399","WP4399","MicroRNA network associated with chronic lymphocytic leukemia","3/604","10/9131",0.0243442292867109,0.120201785939772,0.0944561337491417,"596/574406/407040",3
"WP5512","WP5512","Vedolizumab therapy for irritable bowel syndrome","3/604","10/9131",0.0243442292867109,0.120201785939772,0.0944561337491417,"3383/6404/7412",3
"WP5144","WP5144","NRP1-triggered signaling in pancreatic cancer ","8/604","54/9131",0.0245233937311436,0.120201785939772,0.0944561337491417,"4790/5971/5604/7049/4088/5879/10000/5361",8
"WP4787","WP4787","Osteoblast differentiation and related diseases","14/604","119/9131",0.0250759480894381,0.121986003111778,0.0958581949125333,"7474/5287/5578/860/5581/5286/23533/182/3516/5293/80326/5600/23462/5290",14
"WP2374","WP2374","Oncostatin M signaling","9/604","65/9131",0.0263740513790541,0.127343367479463,0.10006808182312,"5578/4790/4792/5581/2185/3716/5604/5829/840",9
"WP5033","WP5033","Genes associated with the development of rheumatoid arthritis","4/604","18/9131",0.0275680639527789,0.132122499092207,0.103823585880641,"7185/4261/3123/958",4
"WP4877","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling","6/604","36/9131",0.0290926878857826,0.138404184280157,0.108759816167438,"6195/596/5604/1977/5600/4214",6
